"","unique_id","area","distid","obs_year","carbon","cbi"
"169",19913968,"ref_region",47509,2021,69.5,2.54350566864014
"170",19913968,"ref_region",47509,2022,55,NA
"171",19913968,"ref_region",47509,2023,49.5,NA
"172",19978874,"ref_region",47509,2015,87,NA
"173",19978874,"ref_region",47509,2016,95.5,NA
"174",19978874,"ref_region",47509,2017,96,NA
"175",19978874,"ref_region",47509,2018,96.5,NA
"176",19978874,"ref_region",47509,2019,99,NA
"177",19978874,"ref_region",47509,2020,99,NA
"178",19978874,"ref_region",47509,2021,84.5,2.79958176612854
"179",19978874,"ref_region",47509,2022,69.5,NA
"180",19978874,"ref_region",47509,2023,64,NA
"181",11211050,"project",47509,2015,89.5,NA
"182",11211050,"project",47509,2016,96,NA
"183",11211050,"project",47509,2017,96.5,NA
"184",11211050,"project",47509,2018,95.5,NA
"185",11211050,"project",47509,2019,97,NA
"186",11211050,"project",47509,2020,93,NA
"187",11211050,"project",47509,2021,79,NA
"188",11211050,"project",47509,2022,93,NA
"189",11211050,"project",47509,2023,96.5,NA
"190",11211063,"project",47509,2015,95.5,NA
"191",11211063,"project",47509,2016,98.5,NA
"192",11211063,"project",47509,2017,98,NA
"193",11211063,"project",47509,2018,71,NA
"194",11211063,"project",47509,2019,74.5,NA
"195",11211063,"project",47509,2020,70.5,0.00427274173125625
"196",11211063,"project",47509,2021,70,NA
"197",11211063,"project",47509,2022,79.5,NA
"198",11211063,"project",47509,2023,90.5,NA
"199",11211079,"project",47509,2015,53.5,NA
"200",11211079,"project",47509,2016,55.5,NA
"201",11211079,"project",47509,2017,56,NA
"202",11211079,"project",47509,2018,56,NA
"203",11211079,"project",47509,2019,56,NA
"204",11211079,"project",47509,2020,57.5,NA
"205",11211079,"project",47509,2021,58.5,NA
"206",11211079,"project",47509,2022,59.5,NA
"207",11211079,"project",47509,2023,61,NA
"208",11211080,"project",47509,2015,49.5,NA
"209",11211080,"project",47509,2016,49,NA
"210",11211080,"project",47509,2017,49,NA
"211",11211080,"project",47509,2018,52,NA
"212",11211080,"project",47509,2019,51.5,NA
"213",11211080,"project",47509,2020,54,NA
"214",11211080,"project",47509,2021,56,NA
"215",11211080,"project",47509,2022,57,NA
"216",11211080,"project",47509,2023,59.5,NA
"217",11216702,"project",47509,2015,84,NA
"218",11216702,"project",47509,2016,81.5,NA
"219",11216702,"project",47509,2017,74.5,NA
"220",11216702,"project",47509,2018,51,NA
"221",11216702,"project",47509,2019,55,NA
"222",11216702,"project",47509,2020,52.5,0.00739680882543325
"223",11216702,"project",47509,2021,57,NA
"224",11216702,"project",47509,2022,60,NA
"225",11216702,"project",47509,2023,64,NA
"226",11219538,"project",47509,2015,69.5,NA
"227",11219538,"project",47509,2016,70.5,NA
"228",11219538,"project",47509,2017,71.5,NA
"229",11219538,"project",47509,2018,73,NA
"230",11219538,"project",47509,2019,74.5,NA
"231",11219538,"project",47509,2020,71.5,1.48820722103119
"232",11219538,"project",47509,2021,65.5,NA
"233",11219538,"project",47509,2022,70,NA
"234",11219538,"project",47509,2023,72.5,NA
"235",11222345,"project",47509,2015,106,NA
"236",11222345,"project",47509,2016,76.5,NA
"237",11222345,"project",47509,2017,49.5,NA
"238",11222345,"project",47509,2018,62.5,NA
"239",11222345,"project",47509,2019,74,NA
"240",11222345,"project",47509,2020,66.5,0.00239508552476764
"241",11222345,"project",47509,2021,67,NA
"242",11222345,"project",47509,2022,74.5,NA
"243",11222345,"project",47509,2023,88.5,NA
"244",11225156,"project",47509,2015,98.5,NA
"245",11225156,"project",47509,2016,97,NA
"246",11225156,"project",47509,2017,98,NA
"247",11225156,"project",47509,2018,59.5,NA
"248",11225156,"project",47509,2019,49.5,NA
"249",11225156,"project",47509,2020,46.5,0.0296865832060575
"250",11225156,"project",47509,2021,47,NA
"251",11225156,"project",47509,2022,52,NA
"252",11225156,"project",47509,2023,55.5,NA
"253",11225165,"project",47509,2015,78,NA
"254",11225165,"project",47509,2016,72.5,NA
"255",11225165,"project",47509,2017,55,NA
"256",11225165,"project",47509,2018,55,NA
"257",11225165,"project",47509,2019,55,NA
"258",11225165,"project",47509,2020,56,0.00653840135782957
"259",11225165,"project",47509,2021,61.5,NA
"260",11225165,"project",47509,2022,70,NA
"261",11225165,"project",47509,2023,78,NA
"262",11225178,"project",47509,2015,87.5,NA
"263",11225178,"project",47509,2016,81,NA
"264",11225178,"project",47509,2017,84,NA
